lacm,field,sex,laf,age,specnat,measure,gonads,wt,coll,datecoll,family,species,genus,spp,locality,state,county,ele,lat,lng,date,year,month,Description,abv,cty,cty2
119634,670623-10,F,NA,,SN,,,NA,"LAHTELA, L A",22-Jun-67,Corvidae,Nucifraga columbiana,Nucifraga,,UNITED STATES CALIFORNIA MONO CO NA WHITMORE HOT SPRINGS,CALIFORNIA,MONO CO,,NA,NA,6/22/1967,1967,6,complete skeleton,CA,Mono Co,Mono County
16245,,M,NA,,SS,,,NA,"SMITH, AUSTIN",6-May-29,Formicariidae,Myrmeciza exsul,Myrmeciza,occidentalis,COSTA RICA PUNTARENAS PROV  NA LAS AGUJAS,PUNTARENAS PROV,,25 F,9.72,-84.65,5/6/1929,1929,5,study skin,NA,,
44798,575,M,NA,,SS,,,NA,"DENTE, E",23-Feb-63,Psittacidae,Aratinga pertinax,Aratinga,chrysogenys,BRAZIL RORAIMA TERRITORY  NA BOA VISTA,RORAIMA TERRITORY,,,2.85,-60.72,2/23/1963,1963,2,study skin,NA,,
66671,,F,NA,,SS,,,NA,"BERLA, H F",20-May-67,Muscicapidae,Platycichla flavipes,Platycichla,flavipes,"BRAZIL RIO DE JANEIRO  NA ITATIAIA, PARQUE NACL",RIO DE JANEIRO,,,-22.5,-44.57,5/20/1967,1967,5,study skin,NA,,
5348,5578,M,NA,,SO,,,NA,"DAGGETT, F S",28-May-10,Ardeidae,Ixobrychus exilis,Ixobrychus,exilis,UNITED STATES ILLINOIS COOK CO NA WORTH,ILLINOIS,COOK CO,,41.6897583,-87.7972794,5/28/1910,1910,5,partial skeleton,IL,Cook Co,Cook County
21243,3112,F,NA,,SS,,,NA,"WILLETT, GEORGE",23-Oct-19,Emberizidae,Passerella iliaca,Passerella,townsendi,UNITED STATES ALASKA  NA CRAIG,ALASKA,,,55.4760513,-133.1500244,10/23/1919,1919,10,study skin,AK,,
100687,80-289,M,NA,IM,SN,C:26.1;W:377;T:88.8;TAIL:218,T = 7 X 2,530,"INGRAM, K",6-Dec-80,Accipitridae,Buteo jamaicensis,Buteo,ssp,UNITED STATES ARIZONA MARICOPA CO NA SCOTTSDALE,ARIZONA,MARICOPA CO,,33.5092103,-111.8990327,12/6/1980,1980,12,complete skeleton,AZ,Maricopa Co,Maricopa County
5718,DC952,F,NA,,SS,,,NA,"GAYLORD, H A",03 JUN 1897,Phasianidae,Callipepla californica,Callipepla,californica,UNITED STATES CALIFORNIA LOS ANGELES CO NA PASADENA,CALIFORNIA,LOS ANGELES CO,,34.1444969,-118.1300507,1897-06-03,1897,6,study skin,CA,Los Angeles Co,Los Angeles County
33727,,F,NA,,SS,,,NA,"KOVACS, A",19-Jun-55,Anatidae,Anas flavirostris,Anas,flavirostris,ARGENTINA CHUBUT PROV  NA EL HOYO,CHUBUT PROV,,,-43.3,-70,6/19/1955,1955,6,study skin,NA,,
41525,LLW367,M,NA,,SS,W:87.0;TAIL:62.0,,NA,"LEAL S, T",2-Nov-58,Emberizidae,Thraupis episcopus,Thraupis,cana,GUATEMALA ALTA VERAPAZ PANZOS NA PANZOS,ALTA VERAPAZ,PANZOS,400 F,15.4,-89.67,11/2/1958,1958,11,study skin,NA,Panzos,Panzos
42625,,F,NA,,SS,,,NA,"DENTE, E",25-Jun-60,Dendrocolaptidae,Dendrocincla merula,Dendrocincla,castanoptera,BRAZIL PARA  NA BELEM-BRASILIA RD,PARA,,,NA,NA,6/25/1960,1960,6,study skin,NA,,
78719,28142,M,NA,AD,SS,,,NA,"CARRIKER, M A JR",9-May-58,Cotingidae,Querula purpurata,Querula,,COLOMBIA NARINO  NA LA GUAYACANA,NARINO,,600 M,1.43,-78.45,5/9/1958,1958,5,study skin,NA,,
44352,,F,NA,,SS,,,NA,"DENTE, E",2-Nov-60,Formicariidae,Myrmotherula surinamensis,Myrmotherula,multostriatus,BRAZIL PARA  NA RIO CURURU,PARA,,,-7.2,-58.05,11/2/1960,1960,11,study skin,NA,,
66590,,M,NA,,SS,,,NA,"BERLA, H F",16-Apr-67,Furnariidae,Automolus leucophthalmus,Automolus,sulphurascens,"BRAZIL RIO DE JANEIRO  NA ITATIAIA, PARQUE NACL",RIO DE JANEIRO,,,-22.5,-44.57,4/16/1967,1967,4,study skin,NA,,
